district,agencyid,website,meals_provided,P-EBT,all_schools,community_sites,pickup,school_bus_deliv,home_deliv,drive_through_pickup,daily_pickup,not_daily,parent_pickup,school_id_required,meals_for_all_children,weekend_meals,free_meals,ID
1301440,COMMERCE CITY,http://www.commerce-city.k12.ga.us,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1301440
2005100,CONCORDIA,http://www.usd333.com,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,2005100
2801260,CORINTH SCHOOL DIST,http://www.corinth.k12.ms.us,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,2801260
2610860,CORUNNA PUBLIC SCHOOLS,http://www.corunna.k12.mi.us,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,2610860
4009510,DAVIS,http://www.daviswolves.org,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,4009510
1200420,DESOTO,http://www.desotoschools.com/,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1200420
2910770,DEXTER R-XI,http://DEXTER.K12.MO.US/,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,2910770
2911310,EL DORADO SPRINGS R-II,http://www.eldo.k12.mo.us/,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,2911310
2006090,EUDORA,http://www.eudoraschools.org,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2006090
2700124,FAIRMONT AREA SCHOOL DISTRICT,http://fairmont.k12.mn.us/,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2700124
2602730,ALPENA PUBLIC SCHOOLS,http://www.alpenaschools.com,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,2602730
1903570,ANAMOSA COMM SCHOOL DISTRICT,http://www.anamosa.k12.ia.us,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1903570
3700240,ASHEBORO CITY SCHOOLS,http://www.asheboro.k12.nc.us/,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3700240
3904352,ATHENS CITY,http://www.athenscsd.org,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,3904352
3604050,BATH CENTRAL SCHOOL DISTRICT,http://www.bathcsd.org,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,3604050
3904892,BENTON CARROLL SALEM LOCAL,http://www.bcs.k12.oh.us/,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,3904892
3904716,BERKSHIRE LOCAL,http://www.berkshireschools.org/,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,3904716
4810200,BIG SPRING ISD,http://www.bsisd.esc18.net,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,4810200
5300570,BLAINE SCHOOL DISTRICT,http://www.blainesd.org,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5300570
3904363,BOWLING GREEN CITY SCHOOL DISTRICT,http://www.bgcs.k12.oh.us/,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,3904363
5002520,BRATTLEBORO UHSD #6,http://buhs.wsesu.org/,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,5002520
3005140,BROWNING ELEM,http://bps.k12.mt.us,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,3005140
1300720,CALHOUN CITY,http://www.calhounschools.org,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1300720
2907020,CAMERON R-I,http://www.cameron.k12.mo.us,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2907020
5300960,CASHMERE SCHOOL DISTRICT,http://www.cashmere.wednet.edu,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5300960
5301140,CENTRALIA SCHOOL DISTRICT,http://www.centralia.k12.wa.us,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,5301140
4007560,CHICKASHA,http://www.chickasha.k12.ok.us,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,4007560
3904374,CHILLICOTHE CITY,http://www.chillicothe.k12.oh.us/,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3904374
2004890,CLAY CENTER,http://www.usd379.org,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,2004890
101560,FORT PAYNE CITY,http://www.fpcsk12.com,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,101560
102190,MACON COUNTY,http://www.maconk12.org,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,102190
200240,SITKA SCHOOL DISTRICT,http://www.sitkaschools.org,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,200240
502880,BEEBE SCHOOL DISTRICT,http://badger.k12.ar.us,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,502880
509840,MONTICELLO SCHOOL DISTRICT,http://www.billies.org,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,509840
511760,PRAIRIE GROVE SCHOOL DISTRICT,http://pgtigers.org,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,511760
512210,SEARCY SCHOOL DISTRICT,http://www.searcyschools.org,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,512210
600040,RIVERDALE JOINT UNIFIED,http://www.rjusd.org,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,600040
600051,GRIDLEY UNIFIED,http://www.gusd.org,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,600051
600052,EUREKA CITY SCHOOLS,http://www.eurekacityschools.org,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,600052
601409,BISHOP UNIFIED,http://www.bishopschools.org,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,601409
609120,COALINGA-HURON UNIFIED,http://www.chusd.org,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,609120
610770,DEL NORTE COUNTY UNIFIED,http://www.delnorte.k12.ca.us,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,610770
619320,KELSEYVILLE UNIFIED,http://www.kvusd.org,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,619320
630360,PIERCE JOINT UNIFIED,http://www.pierce.k12.ca.us,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,630360
637260,SONORA UNION HIGH,http://www.sonorahs.k12.ca.us,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,637260
803090,MONTEZUMA-CORTEZ SCHOOL DISTRICT NO. RE-1,http://www.cortez.k12.co.us/,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,803090
806330,SALIDA SCHOOL DISTRICT NO. R-32,http://www.salidaschools.com,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,806330
101170,DECATUR CITY,http://www.dcs.edu,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,101170
102010,LAUDERDALE COUNTY,http://www.lcschools.org,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,102010
102350,MIDFIELD CITY,http://www.midfield.k12.al.us,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,102350
601468,AMERICA'S FINEST CHARTER DISTRICT,http://americasfinestcharterschool.org,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,601468
601532,BRIGHT STAR SECONDARY CHARTER ACADEMY DISTRICT,http://brightstarschools.org,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,601532
601557,ASPIRE JUNIOR COLLEGIATE ACADEMY DISTRICT,http://aspirepublicschools.org,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,601557
601622,HIGH TECH MIDDLE NORTH COUNTY DISTRICT,http://www.hightechhigh.org,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,601622
601664,ALAMEDA COMMUNITY LEARNING CENTER DISTRICT,http://www.alamedaclc.org,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,601664
601693,KIPP ACADEMY OF OPPORTUNITY DISTRICT,http://kippla.org/kao/index.cfm,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,601693
602189,PARA LOS NI?OS - EVELYN THURMAN GRATTS PRIMARY DISTRICT,http://paralosninos.org,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,602189
602198,KING-CHAVEZ ATHLETICS ACADEMY DISTRICT,http://www.kingchavez.org,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,602198
602260,SONOMA CHARTER DISTRICT,http://sonomacharterschool.org/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602260
602300,ICEF VIEW PARK PREPARATORY MIDDLE DISTRICT,http://icefps.org,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,602300
602391,INSPIRE CHARTER DISTRICT,http://www.inspirelosangeles.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602391
602455,PUENTE CHARTER DISTRICT,http://puente.org,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602455
602469,BIG SUR CHARTER DISTRICT,http://www.bigsurcharterschool.org/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602469
603180,ARMONA UNION ELEMENTARY,http://www.auesd.com,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,603180
604020,BARSTOW UNIFIED,http://www.barstow.k12.ca.us,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,604020
607200,CAMPBELL UNION,http://www.campbellusd.org,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,607200
610260,CULVER CITY UNIFIED,http://www.ccusd.org,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,610260
612810,ENTERPRISE ELEMENTARY,http://www.eesd.net,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,612810
614880,GARDEN GROVE UNIFIED,http://www.ggusd.us,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,614880
616680,HAWTHORNE,http://www.hawthorne.k12.ca.us,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,616680
617220,HILMAR UNIFIED,http://www.hilmar.k12.ca.us,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,617220
620490,LAGUNITA ELEMENTARY,http://sites.google.com/site/lagunitaschooldistrict/,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,620490
621420,LENNOX,http://www.lennox.k12.ca.us,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,621420
622230,LODI UNIFIED,http://www.lodiusd.net,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622230
626190,MOUNTAIN VIEW ELEMENTARY,http://www.mtviewschools.com,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,626190
640300,UKIAH UNIFIED,http://www.uusd.net,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,640300
805460,MANCOS SCHOOL DISTRICT RE-6,http://www.mancosre6.edu,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,805460
805490,MANITOU SPRINGS SCHOOL DISTRICT NO. 14 IN THE COUNTY OF EL,http://www.mssd14.org,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,805490
807230,WESTMINSTER PUBLIC SCHOOLS,http://www.westminsterpublicschools.org/,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,807230
900120,AVON SCHOOL DISTRICT,http://www.avon.k12.ct.us/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900120
902790,NEW HAVEN SCHOOL DISTRICT,http://www.nhps.net/,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,902790
1000019,MOT CHARTER SCHOOL,http://www.motcharter.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000019
1100106,ROCKETSHIP DC PCS,http://www.rocketshipschools.org/schools/legacy-prep/,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1100106
1201320,MONROE,http://www.keysschools.com,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1201320
1201830,SUWANNEE,http://www.suwannee.k12.fl.us,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1201830
1500030,HAWAII DEPARTMENT OF EDUCATION,http://doe.k12.hi.us,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1500030
1801020,BROWNSBURG COMMUNITY SCHOOL CORP,http://www.brownsburg.k12.in.us/,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1801020
1809810,SALEM COMMUNITY SCHOOLS,http://www.salemschools.com,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1809810
1812930,WEST WASHINGTON SCHOOL CORP,http://estwashingtonschools.org,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1812930
1922440,PEKIN COMM SCHOOL DISTRICT,http://www.pekincsd.org,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1922440
1926400,SIOUX CITY COMM SCHOOL DISTRICT,http://www.siouxcityschools.org,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1926400
1930240,WASHINGTON COMM SCHOOL DISTRICT,http://www.washington.k12.ia.us,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1930240
2012210,TONGANOXIE,http://www.tong464.org,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2012210
2012390,UDALL,http://www.usd463.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012390
2308340,MONHEGAN PLT SCHOOL DEPT,http://www.monheganschool.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2308340
2502790,BOSTON,http://bostonpublicschools.org,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,2502790
2504050,DEDHAM,http://www.dedham.k12.ma.us,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,2504050
2505220,GEORGETOWN,http://www.georgetown-schools.org,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2505220
2506090,HINGHAM,http://hinghamschools.com,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,2506090
2512660,WESTFORD,http://westfordk12.us/Pages/index,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2512660
2600301,FRONTIER INTERNATIONAL ACADEMY,http://www.frontier-academy.net/,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2600301
2607590,CADILLAC AREA PUBLIC SCHOOLS,http://www.vikingnet.org,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,2607590
2612930,ECORSE PUBLIC SCHOOLS,http://www.resa.net/ecorse,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,2612930
2615730,GAYLORD COMMUNITY SCHOOLS,http://www.gaylordschools.com,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,2615730
2636600,YALE PUBLIC SCHOOLS,http://www.ypsd.us,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2636600
2706300,BROWERVILLE PUBLIC SCHOOL DISTRICT,http://www.browerville.k12.mn.us/,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2706300
2711760,FARIBAULT PUBLIC SCHOOL DISTRICT,http://www.faribault.k12.mn.us/,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,2711760
2714220,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,http://www.edenpr.k12.mn.us/,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,2714220
2723580,NICOLLET PUBLIC SCHOOL DISTRICT,http://www.isd507.k12.mn.us/,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,2723580
2732430,ROSEVILLE PUBLIC SCHOOL DISTRICT,http://www.isd623.org,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,2732430
2733270,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,http://www.sspps.org/,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,2733270
2801510,FORREST COUNTY AG HIGH SCHOOL,http://www.forrestcountyahs.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2801510
2801950,HOLLY SPRINGS SCHOOL DIST,http://www.hssd.k12.ms.us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2801950
2803480,PASCAGOULA-GAUTIER SCHOOL DISTRICT,http://www.psd.ms/,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2803480
2904950,BERNIE R-XIII,http://WWW.BERNIE.K12.MO.US,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2904950
2912660,GALLATIN R-V,http://gallatin.k12.mo.us/,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2912660
2930840,MORGAN CO. R-II,http://versaillestigers.org,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2930840
3019740,OPHEIM K-12 SCHOOLS,http://sites.google.com/site/opheimschool/,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3019740
3022710,ROBERTS K-12 SCHOOLS,http://www.roberts.k12.mt.us,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3022710
3400960,ATLANTIC CITY SCHOOL DISTRICT,http://www.acboe.org,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3400960
3401620,BERLIN TOWNSHIP SCHOOL DISTRICT,http://www.btwpschools.org,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3401620
3412030,OCEAN GATE SCHOOL DISTRICT,http://www.oceangateschool.net,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3412030
3600001,DOLGEVILLE CENTRAL SCHOOL DISTRICT,http://www.dolgeville.org,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,3600001
3601010,DEMOCRACY PREP HARLEM CHARTER SCHOOL,http://www.democracyprep.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3601010
3601171,ZETA CHARTER SCHOOL - INWOOD 1,http://zetaschools.org,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,3601171
3601181,SYRACUSE ACADEMY OF SCIENCE AND CITIZENSHIP CHARTER SCHOOL,http://www.saccs.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3601181
3604590,BERKSHIRE UNION FREE SCHOOL DISTRICT,http://www.berkshirefarm.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3604590
3606500,SPACKENKILL UNION FREE SCHOOL DISTRICT,http://www.sufsdny.org,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3606500
3615900,JOHNSON CITY CENTRAL SCHOOL DISTRICT,http://www.jcschools.com,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3615900
3618900,MECHANICVILLE CITY SCHOOL DISTRICT,http://www.mechanicville.org,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,3618900
3622020,OSSINING UNION FREE SCHOOL DISTRICT,http://www.ossiningufsd.org,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3622020
3625650,SANDY CREEK CENTRAL SCHOOL DISTRICT,http://www.sccs.cnyric.org,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,3625650
3626160,SCHUYLERVILLE CENTRAL SCHOOL DISTRICT,http://www.schuylervilleschools.org,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,3626160
3628020,STAMFORD CENTRAL SCHOOL DISTRICT,http://www.stamfordcs.org,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3628020
3631980,YORKTOWN CENTRAL SCHOOL DISTRICT,http://www.yorktown.org,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3631980
3700016,GRANDFATHER ACADEMY,http://64 Grandfather Home Dr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3700016
3700332,ISLAND MONTESSORI CHARTER,http://www.islandmontessorischool.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3700332
3703310,CRAVEN COUNTY SCHOOLS,http://www.cravenk12.org,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,3703310
3703570,PENDER COUNTY SCHOOLS,http://www.pendercountyschools.net,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,3703570
3704740,WARREN COUNTY SCHOOLS,http://www.warrenk12nc.org,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,3704740
3807950,GOODRICH 16,http://www.goodrich.k12.nd.us,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3807950
3813230,MONTPELIER 14,http://www.montpelier.k12.nd.us,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3813230
3817460,ST JOHN 3,http://www3.stjohn.k12.nd.us,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3817460
3900084,RIVER GATE HIGH SCHOOL,http://www.rivergatehigh.org/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900084
3901301,FOUNDATION ACADEMY,http://foundationacad.org/,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3901301
3904474,SANDUSKY CITY,http://www.sandusky-city.k12.oh.us/,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,3904474
3904934,KALIDA LOCAL,http://kalidaschools.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3904934
3905048,FORT FRYE LOCAL,http://www.fortfrye.k12.oh.us/,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3905048
3905051,WOLF CREEK LOCAL,http://www.wolfcreek.k12.oh.us/,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3905051
3906190,ADAMS COUNTY OHIO VALLEY LOCAL,http://www.ohiovalley.k12.oh.us/,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,3906190
3910030,CELINA CITY,http://www.celinaschools.org/,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,3910030
4000795,CARLTON LANDING ACADEMY,http://www.carltonlandingacademy.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000795
4003930,BENNINGTON,http://www.benningtonisd.org/,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,4003930
4006120,CACHE,http://www.cacheps.org,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,4006120
4010740,ELK CITY,http://www.elkcityschools.com,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4010740
4011760,FLOWER MOUND,http://www.flowermound.k12.ok.us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4011760
4028620,STIDHAM,http://www.stidham.k12.ok.us,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,4028620
4033603,BINGER-ONEY,http://www.binger-oney.k12.ok.us/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4033603
4102040,BETHEL SD 52,http://www.bethel.k12.or.us,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,4102040
4200086,RICHARD ALLEN PREPARATORY CS,http://www.rapcs.org,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4200086
4200131,KHEPERA CS,http://www.kheperacharterschool.org,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4200131
4200761,MASTERY CS-PICKETT CAMPUS,http://www.masterycharter.org/,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4200761
4200894,INNOVATIVE ARTS ACADEMY CS,http://www.innovativeartslv.com/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4200894
4207650,DONEGAL SD,http://www.donegalsd.org,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,4207650
4218360,PALMERTON AREA SD,http://www.palmerton.org,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,4218360
4221200,SHALER AREA SD,http://www.sasd.k12.pa.us,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,4221200
4225170,WELLSBORO AREA SD,http://www.wellsborosd.org,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,4225170
4607050,BISON SCHOOL DISTRICT 52-1,http://www.bison.k12.sd.us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4607050
4609300,HARDING COUNTY SCHOOL DISTRICT 31-1,http://www.hardingcounty.k12.sd.us,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4609300
4634480,HOT SPRINGS SCHOOL DISTRICT 23-2,http://www.hssd.k12.sd.us,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,4634480
4700690,CLEVELAND,http://www.clevelandschools.org,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,4700690
4700750,COCKE COUNTY,http://www.cocke.k12.tn.us/,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,4700750
4701680,HARDIN COUNTY,https://hardincoschools.com/,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,4701680
4702610,MANCHESTER,http://www.manchestercitysch.org,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4702610
4807710,ALDINE ISD,http://www.aldineisd.org,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,4807710
4811280,BRENHAM ISD,http://www.brenhamisd.net,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,4811280
4813680,CHAPEL HILL ISD,http://chisddevils.com/,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,4813680
4817040,DIBOLL ISD,http://www.dibollisd.com,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,4817040
4825260,KELLER ISD,http://www.kellerisd.net,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,4825260
4827210,LEONARD ISD,http://www.leonardisd.net,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,4827210
4827300,LEWISVILLE ISD,http://www.lisd.net/,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,4827300
4828890,MANOR ISD,http://www.manorisd.net,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,4828890
4835250,POINT ISABEL ISD,http://www.pi-isd.net,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,4835250
4840230,SILSBEE ISD,http://www.silsbeeisd.org,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,4840230
4840740,SOMERSET ISD,http://www.sisdk12.net,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4840740
4844160,VIDOR ISD,http://www.vidorisd.org,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4844160
4844280,WACO ISD,http://www.wacoisd.org,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,4844280
4846500,WYLIE ISD,http://www.wyliebulldogs.org,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,4846500
4900070,EDITH BOWEN LABORATORY SCHOOL,http://www.edithbowen.usu.edu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900070
5103240,RICHMOND CITY PBLC SCHS,http://www.rvaschools.net,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,5103240
5103270,RICHMOND CO PBLC SCHS,http://www.richmond-county.k12.va.us,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5103270
5309000,TOUCHET SCHOOL DISTRICT,http://www.touchet.k12.wa.us,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,5309000
5310110,YAKIMA SCHOOL DISTRICT,http://www.yakimaschools.org,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,5310110
5500083,ONE CITY SENIOR PRESCHOOL AGENCY,http://www.onecityschools.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500083
5502100,CAMBRIDGE SCHOOL DISTRICT,http://www.cambridge.k12.wi.us,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5502100
5510500,NEW GLARUS SCHOOL DISTRICT,http://www.ngsd.k12.wi.us,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,5510500
5517100,WITTENBERG-BIRNAMWOOD SCHOOL DISTRICT,http://www.wittbirn.k12.wi.us,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,5517100
